Instance,Objective_value,Run_time,Solution_status
pglib_opf_case3_lmbd__sad,5881.201659,0.018255503,OPTIMAL
pglib_opf_case5_pjm__sad,25948.10841,0.052437649,OPTIMAL
pglib_opf_case14_ieee__sad,2412.891508,0.119373597,OPTIMAL
pglib_opf_case24_ieee_rts__sad,75224.47475,0.163597872,OPTIMAL
pglib_opf_case30_as__sad,877.0995296,0.17730255,OPTIMAL
pglib_opf_case30_ieee__sad,7744.087346,0.179830547,OPTIMAL
pglib_opf_case39_epri__sad,148040.2919,0.105277476,OPTIMAL
pglib_opf_case57_ieee__sad,38567.84589,0.286127262,OPTIMAL
pglib_opf_case73_ieee_rts__sad,223498.1647,0.606017964,OPTIMAL
pglib_opf_case89_pegase__sad,106533.0936,145.7352029,OPTIMAL
pglib_opf_case118_ieee__sad,98204.01639,1.445339568,OPTIMAL
pglib_opf_case162_ieee_dtc__sad,101951.0047,7.155098096,OPTIMAL
pglib_opf_case179_goc__sad,755151.2902,1.015829358,OPTIMAL
pglib_opf_case200_activ__sad,27556.73302,0.962444141,OPTIMAL
pglib_opf_case240_pserc__sad,3.26E+06,4.253787896,OPTIMAL
pglib_opf_case300_ieee__sad,552590.9409,3.787688652,OPTIMAL
pglib_opf_case500_goc__sad,456020.6199,4.869469868,OPTIMAL
pglib_opf_case588_sdet__sad,309789.4498,1.798389285,OPTIMAL
pglib_opf_case793_goc__sad,268009.3306,2.985302373,OPTIMAL
pglib_opf_case1354_pegase__sad,1.24E+06,11.83800097,OPTIMAL
pglib_opf_case1888_rte__sad,1.37E+06,14.23993516,OPTIMAL
pglib_opf_case1951_rte__sad,2.08E+06,19.09758659,OPTIMAL
pglib_opf_case2000_goc__sad,979501.8526,39.61133008,OPTIMAL
pglib_opf_case2312_goc__sad,446782.5921,19.79407125,OPTIMAL
pglib_opf_case2383wp_k__sad,1.88E+06,9.064642107,OPTIMAL
pglib_opf_case2736sp_k__sad,1.31E+06,10.21423421,OPTIMAL
pglib_opf_case2737sop_k__sad,777571.3339,10.50043967,OPTIMAL
pglib_opf_case2742_goc__sad,272029.9791,26.22805537,OPTIMAL
pglib_opf_case2746wop_k__sad,1.21E+06,9.76290412,OPTIMAL
pglib_opf_case2746wp_k__sad,1.64E+06,10.14897908,OPTIMAL
pglib_opf_case2848_rte__sad,1.29E+06,28.25938199,OPTIMAL
pglib_opf_case2853_sdet__sad,2.04E+06,1079.510638,OPTIMAL
pglib_opf_case2868_rte__sad,2.01E+06,42.96842745,OPTIMAL
pglib_opf_case2869_pegase__sad,2.44E+06,323.9519461,OPTIMAL
pglib_opf_case3_lmbd__api,10803.41714,0.029217406,OPTIMAL
pglib_opf_case5_pjm__api,73255.4599,0.04263629,OPTIMAL
pglib_opf_case14_ieee__api,5691.799038,0.159930075,OPTIMAL
pglib_opf_case24_ieee_rts__api,120260.3338,0.327023274,OPTIMAL
pglib_opf_case30_as__api,2768.021258,0.238436633,OPTIMAL
pglib_opf_case30_ieee__api,17060.27544,0.16544538,OPTIMAL
pglib_opf_case39_epri__api,245448.8051,0.148040148,OPTIMAL
pglib_opf_case57_ieee__api,49251.13462,0.29037597,OPTIMAL
pglib_opf_case73_ieee_rts__api,383300.4198,1.23739393,OPTIMAL
pglib_opf_case89_pegase__api,100155.4047,204.6781585,OPTIMAL
pglib_opf_case118_ieee__api,170534.2268,1.502266995,OPTIMAL
pglib_opf_case162_ieee_dtc__api,115767.3938,13.66101913,OPTIMAL
pglib_opf_case179_goc__api,1.82E+06,1.708763164,OPTIMAL
pglib_opf_case200_activ__api,35693.81434,1.309641376,OPTIMAL
pglib_opf_case240_pserc__api,4.61E+06,5.657873281,OPTIMAL
pglib_opf_case300_ieee__api,679404.0974,2.955965117,OPTIMAL
pglib_opf_case500_goc__api,668616.6724,9.274213426,OPTIMAL
pglib_opf_case588_sdet__api,389281.5096,1.742031039,OPTIMAL
pglib_opf_case793_goc__api,276798.1183,2.706787343,OPTIMAL
pglib_opf_case1354_pegase__api,1.49E+06,19.56245701,OPTIMAL
pglib_opf_case1888_rte__api,1.95E+06,35.95039726,OPTIMAL
pglib_opf_case1951_rte__api,2.40E+06,50.42056215,OPTIMAL
pglib_opf_case2000_goc__api,1.44E+06,91.17725085,OPTIMAL
pglib_opf_case2312_goc__api,496824.5452,59.26511874,OPTIMAL
pglib_opf_case2383wp_k__api,279125.825,41.05660897,OPTIMAL
pglib_opf_case2736sp_k__api,583168.9459,57.30062552,OPTIMAL
pglib_opf_case2737sop_k__api,345567.795,44.57991463,OPTIMAL
pglib_opf_case2742_goc__api,485520.1044,86.40140401,OPTIMAL
pglib_opf_case2746wop_k__api,511658.625,22.14138061,OPTIMAL
pglib_opf_case2746wp_k__api,581825.055,42.00900375,OPTIMAL
pglib_opf_case2848_rte__api,1.49E+06,94.35524539,OPTIMAL
pglib_opf_case2853_sdet__api,2.41E+06,1835.98409,OPTIMAL
pglib_opf_case2868_rte__api,2.29E+06,80.84184276,OPTIMAL
pglib_opf_case2869_pegase__api,2.90E+06,450.2315181,OPTIMAL
pglib_opf_case3_lmbd,5756.464813,0.089310641,OPTIMAL
pglib_opf_case5_pjm,15001.85517,0.059418358,OPTIMAL
pglib_opf_case14_ieee,2175.704696,0.205444969,OPTIMAL
pglib_opf_case24_ieee_rts,63344.59156,0.184064141,OPTIMAL
pglib_opf_case30_as,802.6802329,0.250183715,OPTIMAL
pglib_opf_case30_ieee,6676.242526,0.270372139,OPTIMAL
pglib_opf_case39_epri,137664.0245,0.117974037,OPTIMAL
pglib_opf_case57_ieee,37529.71722,0.326504123,OPTIMAL
pglib_opf_case73_ieee_rts,189706.2323,0.890001906,OPTIMAL
pglib_opf_case89_pegase,106487.9615,354.8662836,OPTIMAL
pglib_opf_case118_ieee,96471.75273,1.946809601,OPTIMAL
pglib_opf_case162_ieee_dtc,101773.9379,40.17605363,OPTIMAL
pglib_opf_case179_goc,753130.9921,1.596677501,OPTIMAL
pglib_opf_case200_activ,27556.64918,1.114584712,OPTIMAL
pglib_opf_case240_pserc,3.24E+06,4.705571537,OPTIMAL
pglib_opf_case300_ieee,550803.2112,16.4657745,OPTIMAL
pglib_opf_case500_goc,453868.9111,43.43353908,OPTIMAL
pglib_opf_case588_sdet,307168.1176,1.914742103,OPTIMAL
pglib_opf_case793_goc,256771.9898,3.694319247,OPTIMAL
pglib_opf_case1354_pegase,1.24E+06,63.75002997,OPTIMAL
pglib_opf_case1888_rte,1.37E+06,117.5194585,OPTIMAL
pglib_opf_case1951_rte,2.08E+06,104.8027447,OPTIMAL
pglib_opf_case2000_goc,970466.9295,176.7669188,OPTIMAL
pglib_opf_case2312_goc,432989.1749,70.51914601,OPTIMAL
pglib_opf_case2383wp_k,1.85E+06,85.6535832,OPTIMAL
pglib_opf_case2736sp_k,1.30E+06,89.544905,OPTIMAL
pglib_opf_case2737sop_k,775761.594,94.26186343,OPTIMAL
pglib_opf_case2742_goc,272056.222,155.9958123,OPTIMAL
pglib_opf_case2746wop_k,1.20E+06,59.98529686,OPTIMAL
pglib_opf_case2746wp_k,1.63E+06,113.458905,OPTIMAL
pglib_opf_case2848_rte,1.29E+06,194.2243553,OPTIMAL
pglib_opf_case2853_sdet,2.03E+06,2949.103258,OPTIMAL
pglib_opf_case2868_rte,2.01E+06,222.3324207,OPTIMAL
pglib_opf_case2869_pegase,2.44E+06,695.1384635,OPTIMAL