Instance,Objective_value,Run_time,Solution_status,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,,,,,,,,,,
pglib_opf_case3_lmbd__sad,5877.265469,0.015771045,OPTIMAL,9.16E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case5_pjm__sad,25945.21936,0.052510268,OPTIMAL,0,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case14_ieee__sad,2229.681102,0.574556466,OPTIMAL,2.90E-05,2,"Any[(6, 11), (13, 14)]",0,Any[],,,,,,,,,,
pglib_opf_case24_ieee_rts__sad,73985.51642,14.37367007,OPTIMAL,0,3,"Any[(1, 5), (16, 19), (15, 16)]",0,Any[],,,,,,,,,,
pglib_opf_case30_as__sad,876.6260186,11.68299195,OPTIMAL,3.50E-05,3,"Any[(6, 8), (6, 10), (25, 27)]",0,Any[],,,,,,,,,,
pglib_opf_case30_ieee__sad,7473.733141,2.82359315,OPTIMAL,3.03E-05,3,"Any[(6, 10), (24, 25), (2, 4)]",0,Any[],,,,,,,,,,
pglib_opf_case39_epri__sad,147386.9343,15.59450929,OPTIMAL,0,4,"Any[(7, 8), (16, 17), (2, 25), (12, 11)]",0,Any[],,,,,,,,,,
pglib_opf_case57_ieee__sad,38533.19302,44.54570238,OPTIMAL,6.56E-05,4,"Any[(53, 54), (36, 40), (9, 12), (40, 56)]",0,Any[],,,,,,,,,,
pglib_opf_case73_ieee_rts__sad,219308.9116,7200.262621,TIME_LIMIT,0.001200434,10,"Any[(40, 43), (56, 57), (73, 21), (25, 26), (8, 9), (71, 73), (49, 50), (23, 41), (1, 2), (64, 67)]",0,Any[],,,,,,,,,,
pglib_opf_case89_pegase__sad,106506.8787,7200.266768,TIME_LIMIT,0.000890623,49,"Any[(66, 47), (63, 30), (36, 35), (30, 19), (55, 81), (47, 30), (5, 38), (35, 30), (8, 61), (87, 89), (18, 47), (21, 63), (38, 63), (23, 30), (41, 30), (63, 61), (63, 74), (63, 19), (12, 89), (38, 41), (9, 65), (38, 23), (70, 61), (38, 61), (38, 74), (63, 67), (35, 41), (35, 23), (63, 35), (35, 74), (35, 19), (41, 23), (41, 61), (41, 74), (23, 19), (41, 19), (38, 35), (38, 36), (23, 8), (35, 28), (41, 25), (42, 38), (36, 41), (76, 85), (28, 61), (36, 23), (36, 19), (37, 30), (28, 8)]",0,Any[],,,,,,,,,,
pglib_opf_case118_ieee__sad,96691.73053,3453.410013,OPTIMAL,9.77E-05,14,"Any[(55, 56), (17, 31), (47, 49), (46, 47), (27, 32), (103, 104), (17, 113), (54, 56), (15, 33), (59, 61), (54, 55), (59, 60), (34, 43), (49, 69)]",0,Any[],,,,,,,,,,
pglib_opf_case162_ieee_dtc__sad,101908.7435,7200.614273,TIME_LIMIT,0.003195522,8,"Any[(125, 126), (116, 117), (12, 132), (72, 113), (60, 62), (120, 128), (39, 42), (14, 72)]",0,Any[],,,,,,,,,,
pglib_opf_case179_goc__sad,754332.7524,7200.648634,TIME_LIMIT,0.00030293,12,"Any[(99, 100), (124, 123), (48, 60), (51, 52), (23, 44), (153, 154), (100, 44), (113, 123), (20, 22), (48, 58), (48, 141), (156, 152)]",0,Any[],,,,,,,,,,
pglib_opf_case200_activ__sad,27558.71999,7200.518364,TIME_LIMIT,0.000130307,18,"Any[(56, 55), (168, 163), (197, 195), (196, 195), (55, 45), (165, 163), (11, 93), (166, 163), (27, 158), (81, 178), (86, 193), (79, 75), (92, 89), (93, 191), (78, 75), (161, 160), (169, 163), (111, 175)]",0,Any[],,,,,,,,,,
pglib_opf_case240_pserc__sad,3.25E+06,7200.230072,TIME_LIMIT,0.003186964,29,"Any[(34, 78), (10, 77), (209, 211), (54, 222), (116, 119), (1, 2), (129, 131), (13, 14), (42, 48), (37, 44), (189, 190), (92, 128), (34, 77), (127, 129), (130, 150), (112, 127), (129, 235), (159, 171), (127, 143), (81, 96), (55, 57), (137, 150), (178, 183), (203, 204), (62, 65), (113, 127), (88, 94), (111, 112), (137, 236)]",1,"Any[(116, 119)]",,,,,,,,,,
pglib_opf_case300_ieee__sad,550246.512,7200.228628,TIME_LIMIT,0.019406505,18,"Any[(152, 155), (130, 131), (39, 77), (12, 13), (33, 39), (50, 51), (173, 111), (136, 133), (173, 220), (108, 126), (31, 78), (40, 41), (132, 136), (34, 39), (298, 3), (7, 12), (243, 245), (10, 15)]",0,Any[],,,,,,,,,,
pglib_opf_case500_goc__sad,NaN,430.2160201,INFEASIBLE_OR_UNBOUNDED, , ,Any[], , ,,,,,,,,,,
pglib_opf_case3_lmbd__api,10596.01649,0.033482024,OPTIMAL,0,1,"Any[(1, 2)]",0,Any[],,,,,,,,,,
pglib_opf_case5_pjm__api,73255.45858,0.071873769,OPTIMAL,0,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case14_ieee__api,5691.798989,0.265930076,OPTIMAL,4.62E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case24_ieee_rts__api,115616.5387,4.1603433,OPTIMAL,0,3,"Any[(19, 20), (17, 18), (4, 9)]",0,Any[],,,,,,,,,,
pglib_opf_case30_as__api,2767.848934,3.435319281,OPTIMAL,7.99E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case30_ieee__api,17060.27749,0.863473352,OPTIMAL,8.32E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case39_epri__api,245448.8054,0.750045552,OPTIMAL,4.73E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case57_ieee__api,49245.47195,12.62922707,OPTIMAL,8.85E-05,2,"Any[(13, 14), (40, 56)]",0,Any[],,,,,,,,,,
pglib_opf_case73_ieee_rts__api,375956.9541,3869.928704,OPTIMAL,5.42E-05,6,"Any[(19, 20), (42, 45), (49, 50), (18, 21), (1, 2), (65, 66)]",0,Any[],,,,,,,,,,
pglib_opf_case89_pegase__api,100101.7919,7200.271257,TIME_LIMIT,0.000574432,47,"Any[(66, 47), (61, 67), (55, 81), (38, 30), (5, 38), (35, 30), (87, 89), (21, 63), (38, 63), (63, 74), (42, 61), (12, 89), (21, 61), (38, 61), (61, 33), (63, 67), (38, 19), (35, 41), (35, 23), (35, 61), (63, 35), (36, 30), (11, 5), (35, 19), (18, 30), (18, 57), (38, 67), (74, 30), (41, 74), (35, 8), (21, 35), (36, 63), (70, 65), (11, 42), (76, 2), (5, 61), (35, 28), (42, 38), (32, 49), (36, 41), (36, 23), (23, 28), (36, 61), (71, 65), (36, 19), (53, 5), (74, 19)]",0,Any[],,,,,,,,,,
pglib_opf_case118_ieee__api,170291.7681,7200.622705,TIME_LIMIT,0.000146781,11,"Any[(55, 56), (49, 54), (56, 57), (62, 66), (80, 96), (40, 42), (62, 67), (19, 34), (15, 33), (55, 59), (51, 58)]",0,Any[],,,,,,,,,,
pglib_opf_case162_ieee_dtc__api,115728.1572,7200.529968,TIME_LIMIT,0.00086825,14,"Any[(8, 15), (27, 127), (72, 113), (21, 127), (10, 60), (113, 132), (3, 103), (16, 17), (8, 13), (14, 132), (3, 124), (14, 72), (65, 126), (60, 126)]",0,Any[],,,,,,,,,,
pglib_opf_case179_goc__api,1.82E+06,881.6136393,OPTIMAL,9.99E-05,7,"Any[(7, 20), (8, 20), (6, 40), (113, 123), (3, 20), (156, 152), (3, 2)]",0,Any[],,,,,,,,,,
pglib_opf_case200_activ__api,35694.91631,2764.122965,OPTIMAL,7.94E-05,9,"Any[(168, 163), (11, 93), (166, 163), (27, 158), (86, 193), (79, 75), (92, 89), (161, 160), (169, 163)]",0,Any[],,,,,,,,,,
pglib_opf_case240_pserc__api,4.61E+06,7200.9625,TIME_LIMIT,0.000409243,18,"Any[(87, 90), (129, 149), (34, 78), (10, 77), (209, 211), (200, 201), (202, 210), (77, 78), (34, 77), (127, 129), (217, 225), (63, 67), (157, 170), (65, 67), (112, 120), (42, 47), (66, 67), (161, 164)]",0,Any[],,,,,,,,,,
pglib_opf_case300_ieee__api,679306.5209,7200.324031,TIME_LIMIT,0.000278743,17,"Any[(120, 122), (132, 133), (208, 216), (116, 126), (296, 298), (99, 123), (241, 75), (120, 121), (46, 57), (136, 133), (28, 30), (105, 134), (36, 59), (293, 298), (27, 30), (155, 156), (5, 7)]",2,"Any[(241, 75), (155, 156)]",,,,,,,,,,
pglib_opf_case500_goc__api,NaN,11.75465843,INFEASIBLE_OR_UNBOUNDED, , ,Any[], , ,,,,,,,,,,
pglib_opf_case3_lmbd,5756.463926,0.038867247,OPTIMAL,4.08E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case5_pjm,14999.78745,0.04274233,OPTIMAL,6.36E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case14_ieee,2175.704969,0.284101915,OPTIMAL,6.06E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case24_ieee_rts,63344.5787,1.114329839,OPTIMAL,9.61E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case30_as,802.6916385,21.96540424,OPTIMAL,2.27E-05,1,"Any[(6, 10)]",0,Any[],,,,,,,,,,
pglib_opf_case30_ieee,6676.185404,1.011768834,OPTIMAL,4.10E-05,1,"Any[(24, 25)]",0,Any[],,,,,,,,,,
pglib_opf_case39_epri,137664.0245,0.515581291,OPTIMAL,9.50E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case57_ieee,37523.17409,17.51346743,OPTIMAL,5.33E-05,3,"Any[(21, 22), (13, 14), (40, 56)]",0,Any[],,,,,,,,,,
pglib_opf_case73_ieee_rts,189706.1638,33.13518547,OPTIMAL,4.96E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case89_pegase,106471.6955,7200.394738,TIME_LIMIT,0.000590311,45,"Any[(66, 47), (36, 35), (55, 81), (35, 30), (8, 61), (87, 89), (18, 47), (21, 63), (11, 67), (38, 63), (23, 30), (41, 30), (63, 61), (63, 74), (12, 89), (38, 41), (9, 65), (38, 23), (70, 61), (38, 74), (61, 33), (21, 19), (38, 19), (63, 35), (35, 74), (11, 5), (35, 19), (74, 30), (41, 74), (35, 8), (23, 19), (21, 35), (38, 35), (36, 63), (57, 19), (76, 85), (28, 61), (36, 23), (23, 28), (36, 61), (36, 74), (36, 19), (89, 82), (28, 8), (74, 19)]",0,Any[],,,,,,,,,,
pglib_opf_case118_ieee,96379.61756,415.0894985,OPTIMAL,7.96E-05,10,"Any[(55, 56), (47, 49), (46, 47), (27, 32), (71, 72), (77, 82), (59, 61), (23, 24), (59, 60), (49, 69)]",0,Any[],,,,,,,,,,
pglib_opf_case162_ieee_dtc,101724.7431,7200.336406,TIME_LIMIT,0.001166405,6,"Any[(8, 15), (8, 12), (3, 103), (39, 42), (16, 17), (30, 32)]",0,Any[],,,,,,,,,,
pglib_opf_case179_goc,753110.8012,307.0671376,OPTIMAL,9.15E-05,14,"Any[(146, 145), (67, 91), (111, 141), (83, 84), (117, 134), (9, 10), (87, 88), (6, 4), (57, 61), (113, 123), (20, 22), (156, 152), (113, 121), (123, 137)]",0,Any[],,,,,,,,,,
pglib_opf_case200_activ,27556.58012,2837.866684,OPTIMAL,5.81E-05,12,"Any[(168, 163), (11, 93), (158, 11), (180, 172), (166, 163), (158, 22), (79, 75), (92, 89), (78, 75), (161, 160), (169, 163), (111, 175)]",0,Any[],,,,,,,,,,
pglib_opf_case240_pserc,3.24E+06,7200.557782,TIME_LIMIT,0.000393995,14,"Any[(34, 78), (10, 77), (1, 10), (157, 158), (1, 11), (77, 78), (129, 235), (178, 183), (195, 196), (203, 204), (113, 127), (158, 195), (132, 156), (137, 236)]",0,Any[],,,,,,,,,,
pglib_opf_case300_ieee,552952.9825,7200.714863,TIME_LIMIT,0.025534212,25,"Any[(99, 122), (194, 243), (100, 124), (130, 131), (132, 133), (190, 191), (298, 4), (220, 22), (106, 134), (99, 125), (50, 51), (173, 111), (182, 181), (46, 57), (136, 133), (28, 30), (253, 254), (55, 89), (2, 11), (40, 41), (82, 84), (13, 15), (298, 3), (10, 15), (173, 1)]",0,Any[],,,,,,,,,,
pglib_opf_case500_goc,NaN,5801.870588,INFEASIBLE_OR_UNBOUNDED, , ,Any[], , ,,,,,,,,,,
pglib_opf_case588_sdet__sad,NaN,10800.40623,TIME_LIMIT, , , , , ,18,,,,,,,,,
pglib_opf_case793_goc__sad,NaN,10800.5549,TIME_LIMIT, , , , , ,19,,,,,,,,,
pglib_opf_case1354_pegase__sad,1239689.532,10801.83629,TIME_LIMIT,0.001676845,0,Any[],0,Any[],20,,,,,,,,,
pglib_opf_case1888_rte__sad,NaN,10802.52759,TIME_LIMIT, , , , , ,21,,,,,,,,,
pglib_opf_case1951_rte__sad,NaN,10801.69196,TIME_LIMIT, , , , , ,22,,,,,,,,,
pglib_opf_case2000_goc__sad,NaN,10801.44585,TIME_LIMIT, , , , , ,23,,,,,,,,,
pglib_opf_case2312_goc__sad,NaN,8531.673321,INFEASIBLE_OR_UNBOUNDED, , , , , ,24,,,,,,,,,
pglib_opf_case588_sdet__api,389251.995,10800.44245,TIME_LIMIT,0.000327811,40,"Any[(213, 191), (92, 93), (436, 437), (7, 8), (36, 56), (181, 182), (214, 215), (359, 370), (443, 476), (310, 280), (310, 315), (533, 534), (47, 59), (27, 28), (309, 252), (446, 521), (411, 370), (148, 132), (371, 370), (398, 363), (78, 80), (446, 447), (353, 402), (491, 492), (29, 30), (39, 40), (476, 485), (449, 468), (199, 200), (355, 363), (411, 363), (406, 394), (32, 55), (501, 502), (427, 476), (28, 31), (192, 229), (439, 450), (310, 237), (104, 105)]",0,Any[],42,,,,,,,,,
pglib_opf_case793_goc__api,NaN,2250.347717,INFEASIBLE_OR_UNBOUNDED, , , , , ,43,,,,,,,,,
pglib_opf_case1354_pegase__api,NaN,10801.84923,TIME_LIMIT, , , , , ,44,,,,,,,,,
pglib_opf_case1888_rte__api,NaN,10801.18976,TIME_LIMIT, , , , , ,45,,,,,,,,,
pglib_opf_case1951_rte__api,NaN,10035.4094,INFEASIBLE, , , , , ,46,,,,,,,,,
pglib_opf_case2000_goc__api,NaN,4897.659259,INFEASIBLE_OR_UNBOUNDED, , , , , ,47,,,,,,,,,
pglib_opf_case2312_goc__api,496817.496,3274.165015,OPTIMAL,0,0,Any[],0,Any[],48,,,,,,,,,
pglib_opf_case588_sdet,307126.634,10800.94843,TIME_LIMIT,0.000416276,45,"Any[(487, 488), (480, 528), (92, 93), (436, 437), (309, 340), (8, 17), (556, 557), (181, 182), (214, 215), (145, 175), (359, 370), (97, 120), (407, 381), (443, 476), (128, 80), (310, 280), (364, 402), (310, 315), (91, 480), (533, 534), (27, 28), (446, 521), (445, 446), (411, 370), (371, 370), (186, 192), (398, 363), (446, 447), (353, 381), (491, 492), (39, 40), (449, 468), (445, 486), (355, 363), (83, 128), (411, 363), (32, 55), (501, 502), (427, 476), (28, 31), (192, 229), (439, 450), (434, 435), (310, 237), (566, 568)]",0,Any[],66,,,,,,,,,
pglib_opf_case793_goc,NaN,5627.419398,INFEASIBLE_OR_UNBOUNDED, , , , , ,67,,,,,,,,,
pglib_opf_case1354_pegase,1239314.698,10802.05693,TIME_LIMIT,0.001417052,0,Any[],0,Any[],68,,,,,,,,,
pglib_opf_case1888_rte,NaN,10801.28133,TIME_LIMIT, , , , , ,69,,,,,,,,,
pglib_opf_case1951_rte,NaN,7553.968924,INFEASIBLE, , , , , ,70,,,,,,,,,
pglib_opf_case2000_goc,970466.829,5772.27568,OPTIMAL,0,0,Any[],0,Any[],71,,,,,,,,,
pglib_opf_case2312_goc,NaN,921.5597712,INFEASIBLE_OR_UNBOUNDED, , , , , ,,,,,,,,,,72