Instance,Objective_value,Run_time,Solution_status,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind,,,,,,,,,,,,,,,,,
pglib_opf_case3_lmbd__sad,5952.55,1.41848861,OPTIMAL,0.14117657,1.27731204,6.422853215,8,0.526833333,0.893529668,0,0,4.56E-09,0,Any[],0,Any[],1,,,,,,,,,,,,,,,,,
pglib_opf_case5_pjm__sad,26068.12,4.480370451,OPTIMAL,0.159664799,4.320705652,8.474393858,7,0.4735,0.793086494,0.166666667,0,0,1,"Any[(3, 4)]",0,Any[],2,,,,,,,,,,,,,,,,,
pglib_opf_case14_ieee__sad,2723.64,64.58811836,OPTIMAL,1.57240848,63.01570988,75.82933046,7,0.27327381,0.517204578,0.2,0,5.76E-07,0,Any[],0,Any[],3,,,,,,,,,,,,,,,,,
pglib_opf_case24_ieee_rts__sad,76712.58,111.2799989,OPTIMAL,9.33935246,101.9406464,139.7036008,8,0.103208333,0.572198841,0.147058824,0,1.27E-05,1,"Any[(8, 10)]",0,Any[],4,,,,,,,,,,,,,,,,,
pglib_opf_case30_as__sad,893.41,267.0135591,OPTIMAL,35.17504188,231.8385172,274.40177,10,0.290615385,0.623939067,0.170731707,0,0,4,"Any[(23, 24), (19, 20), (3, 4), (16, 17)]",0,Any[],5,,,,,,,,,,,,,,,,,
pglib_opf_case30_ieee__sad,8185.71,564.3255816,OPTIMAL,7.321767186,557.0038145,654.9336515,25,0.299583333,0.680303681,0.195121951,0,0,0,Any[],0,Any[],6,,,,,,,,,,,,,,,,,
pglib_opf_case39_epri__sad,148149.42,138.7113315,OPTIMAL,2.956398391,135.7549331,192.8974671,9,0.119679487,0.522242282,0.152173913,0,0,2,"Any[(17, 18), (9, 39)]",0,Any[],7,,,,,,,,,,,,,,,,,
pglib_opf_case57_ieee__sad,38583.34,656.1340383,OPTIMAL,53.64204129,602.491997,721.1330025,9,0.319049708,0.393790039,0.230769231,0,7.83E-05,2,"Any[(10, 12), (5, 6)]",0,Any[],8,,,,,,,,,,,,,,,,,
pglib_opf_case73_ieee_rts__sad,226094.18,938.5444165,OPTIMAL,252.5504091,685.9940073,977.9542748,6,0.088082192,0.397195101,0.212962963,0,1.89E-06,3,"Any[(56, 58), (8, 10), (32, 34)]",0,Any[],9,,,,,,,,,,,,,,,,,
pglib_opf_case89_pegase__sad,NaN,277618.492,TIME_LIMIT,7204.565047,270413.927,270947.6034,1,0,0,1,0, , , , , ,10,,,,,,,,,,,,,,,,,
pglib_opf_case118_ieee__sad,98448.56,10840.78439,TIME_LIMIT,7200.333772,3640.450619,4129.060815,5,0.05934322,0.253104923,0.335195531,0,0.012188051,17,"Any[(14, 15), (47, 49), (27, 32), (106, 107), (41, 42), (62, 66), (71, 72), (64, 65), (65, 66), (38, 37), (39, 40), (35, 37), (61, 62), (66, 67), (32, 113), (30, 17), (81, 80)]",0,Any[],11,,,,,,,,,,,,,,,,,
pglib_opf_case162_ieee_dtc__sad,NaN,21684.85222,TIME_LIMIT,7201.25146,14483.60076,15471.36318,1,0.045684156,0.232183437,0.417857143,0, , , , , ,12,,,,,,,,,,,,,,,,,
pglib_opf_case179_goc__sad,756750.42,11388.85484,TIME_LIMIT,7200.251782,4188.603056,6258.937123,5,0.115482841,0.391787823,0.189189189,0,0.001089707,18,"Any[(99, 100), (85, 86), (95, 96), (7, 20), (168, 170), (129, 140), (173, 174), (137, 138), (158, 78), (60, 61), (8, 20), (87, 88), (68, 74), (97, 98), (51, 58), (48, 141), (3, 20), (177, 178)]",0,Any[],12,,,,,,,,,,,,,,,,,
pglib_opf_case200_activ__sad,27557.4,6523.025348,OPTIMAL,2718.336511,3804.688836,4923.16222,6,0.09234,0.347460513,0.187755102,0,5.92E-05,13,"Any[(181, 194), (180, 199), (194, 150), (180, 191), (54, 66), (199, 172), (27, 93), (185, 150), (27, 158), (138, 195), (121, 178), (173, 175), (163, 179)]",0,Any[],13,,,,,,,,,,,,,,,,,
pglib_opf_case240_pserc__sad,3270905.08,13513.08772,TIME_LIMIT,7200.391109,6312.696616,21315.90587,2,0.027302083,0.278087507,0.290229885,0,0.006288176,14,"Any[(13, 77), (145, 148), (209, 211), (77, 78), (89, 149), (34, 77), (172, 173), (115, 116), (53, 77), (88, 149), (203, 204), (10, 11), (175, 176), (18, 19)]",0,Any[],14,,,,,,,,,,,,,,,,,
pglib_opf_case300_ieee__sad,564116.5099,15503.34193,TIME_LIMIT,7200.773362,8302.568566,10430.88911,1,0.156152778,0.299964084,0.239608802,0,0.036152792,13,"Any[(173, 186), (243, 248), (183, 259), (296, 298), (216, 217), (251, 256), (133, 134), (59, 80), (246, 250), (39, 78), (34, 39), (183, 187), (157, 146)]",0,Any[],16,,,,,,,,,,,,,,,,,
pglib_opf_case3_lmbd__api,11234.86,1.96981984,OPTIMAL,0.154014405,1.815805435,7.867276433,12,0.806333333,0.9546094,0,0,3.05E-06,0,Any[],0,Any[],15,,,,,,,,,,,,,,,,,
pglib_opf_case5_pjm__api,76319.05,4.405663332,OPTIMAL,0.178225359,4.227437973,8.727627934,7,0.7034,0.96474718,0.166666667,0,0,0,Any[],0,Any[],16,,,,,,,,,,,,,,,,,
pglib_opf_case14_ieee__api,5970.7,130.0199663,OPTIMAL,1.602123659,128.4178426,153.9010657,15,0.34,0.889151765,0.15,0,0,1,"Any[(3, 4)]",0,Any[],17,,,,,,,,,,,,,,,,,
pglib_opf_case24_ieee_rts__api,132596.13,104.5299021,OPTIMAL,9.655550317,94.87435174,132.632744,7,0.497583333,0.780195025,0.117647059,0,4.18E-05,1,"Any[(20, 23)]",0,Any[],18,,,,,,,,,,,,,,,,,
pglib_opf_case30_as__api,3589.76,381.6809755,LOCALLY_SOLVED,8.489159883,373.1918156,476.3610199,15,0.516,0.917030587,0.12195122,0,0.151990616,0,Any[],0,Any[],19,,,,,,,,,,,,,,,,,
pglib_opf_case30_ieee__api,17901.74,395.1797547,OPTIMAL,5.350514165,389.8292406,459.4794407,16,0.311833333,0.871084496,0.170731707,0,0,1,"Any[(28, 27)]",0,Any[],20,,,,,,,,,,,,,,,,,
pglib_opf_case39_epri__api,249427.48,222.8212354,OPTIMAL,2.306234779,220.5150006,322.7470964,12,0.57982906,0.976955056,0.043478261,0,0,0,Any[],0,Any[],21,,,,,,,,,,,,,,,,,
pglib_opf_case57_ieee__api,49254.43,604.0132272,OPTIMAL,19.04427024,584.9689569,681.3068251,7,0.272587719,0.526356683,0.256410256,0,9.56E-05,3,"Any[(7, 8), (10, 12), (5, 6)]",0,Any[],22,,,,,,,,,,,,,,,,,
pglib_opf_case73_ieee_rts__api,407638.61,1078.325716,OPTIMAL,238.4901009,839.8356147,1444.970104,7,0.476219178,0.710753835,0.138888889,0,2.86E-16,0,Any[],0,Any[],23,,,,,,,,,,,,,,,,,
pglib_opf_case89_pegase__api,NaN,277681.7684,TIME_LIMIT,7203.974411,270477.794,271302.4176,1,0,0,1,0, , , , , ,26,,,,,,,,,,,,,,,,,
pglib_opf_case118_ieee__api,178481.02,11811.79119,TIME_LIMIT,7200.839004,4610.95219,5646.002185,6,0.053234463,0.513782876,0.324022346,0,0.004789913,18,"Any[(14, 15), (27, 32), (68, 69), (106, 107), (103, 104), (41, 42), (62, 66), (71, 72), (64, 65), (3, 12), (55, 59), (32, 113), (7, 12), (109, 110), (49, 69), (30, 17), (18, 19), (81, 80)]",0,Any[],25,,,,,,,,,,,,,,,,,
pglib_opf_case162_ieee_dtc__api,115782.04,18191.66305,TIME_LIMIT,7201.449554,10990.2135,11895.62613,1,0.049850823,0.368517157,0.417857143,0,0.001127413,2,"Any[(27, 126), (60, 126)]",0,Any[],26,,,,,,,,,,,,,,,,,
pglib_opf_case179_goc__api,1921009.39,4499.985334,OPTIMAL,836.5869953,3663.398338,6965.701689,6,0.127129556,0.556067771,0.189189189,0,2.53E-06,12,"Any[(95, 96), (7, 20), (168, 170), (57, 138), (137, 138), (158, 78), (60, 61), (8, 20), (68, 74), (150, 149), (97, 98), (3, 20)]",0,Any[],27,,,,,,,,,,,,,,,,,
pglib_opf_case200_activ__api,35694.25,4177.61675,OPTIMAL,1012.846969,3164.769781,4449.089387,7,0.0245575,0.671540342,0.187755102,0,6.47E-05,2,"Any[(181, 194), (27, 158)]",0,Any[],28,,,,,,,,,,,,,,,,,
pglib_opf_case240_pserc__api,4616852.38,13102.86297,TIME_LIMIT,7200.530496,5902.33247,24222.75297,2,0.079445833,0.414860603,0.284482759,0,0.000508173,16,"Any[(13, 77), (145, 148), (125, 126), (209, 210), (13, 19), (77, 78), (34, 77), (127, 129), (197, 207), (115, 116), (53, 77), (178, 183), (178, 201), (10, 11), (123, 124), (18, 19)]",0,Any[],29,,,,,,,,,,,,,,,,,
pglib_opf_case300_ieee__api,681038.29,11535.17906,TIME_LIMIT,7200.370181,4334.808875,5793.169878,2,0.182158333,0.514799559,0.246943765,0,0.000101695,15,"Any[(152, 155), (193, 251), (132, 134), (296, 298), (259, 295), (124, 112), (53, 54), (299, 4), (136, 133), (133, 134), (148, 154), (28, 30), (82, 84), (111, 249), (183, 257)]",0,Any[],30,,,,,,,,,,,,,,,,,
pglib_opf_case3_lmbd,5810.8,1.193184224,OPTIMAL,0.142826405,1.050357819,5.900703889,7,0,0.584860636,0,0,3.91E-09,0,Any[],0,Any[],31,,,,,,,,,,,,,,,,,
pglib_opf_case5_pjm,15012.01,5.67480715,OPTIMAL,0.206242163,5.468564987,10.28067899,9,0.0093,0.797029701,0.333333333,0,3.89E-08,0,Any[],0,Any[],32,,,,,,,,,,,,,,,,,
pglib_opf_case14_ieee,2176.63,115.0490478,OPTIMAL,2.672654712,112.3763931,131.1357708,13,0.09672619,0.552133449,0.35,0,6.16E-05,0,Any[],0,Any[],33,,,,,,,,,,,,,,,,,
pglib_opf_case24_ieee_rts,63344.63,92.59004832,OPTIMAL,9.263913876,83.32613444,109.1572763,6,0.07125,0.454244345,0.264705882,0,3.41E-05,1,"Any[(10, 12)]",0,Any[],34,,,,,,,,,,,,,,,,,
pglib_opf_case30_as,802.7,286.2121114,OPTIMAL,36.93804069,249.2740707,286.1878237,11,0.119630769,0.772172587,0.268292683,0,9.96E-05,0,Any[],0,Any[],35,,,,,,,,,,,,,,,,,
pglib_opf_case30_ieee,8106.82,730.8349492,OPTIMAL,8.680961342,722.1539879,834.6796645,31,0.211972222,0.797811227,0.219512195,0,0,1,"Any[(28, 27)]",0,Any[],36,,,,,,,,,,,,,,,,,
pglib_opf_case39_epri,137733.54,188.2256309,OPTIMAL,2.401408318,185.8242226,257.8498618,11,0.092286325,0.727322064,0.173913043,0,1.54E-05,1,"Any[(9, 39)]",0,Any[],37,,,,,,,,,,,,,,,,,
pglib_opf_case57_ieee,37537.46,525.8779274,OPTIMAL,20.50084843,505.377079,590.7628585,6,0.230307018,0.526689684,0.256410256,0,7.88E-05,3,"Any[(54, 55), (10, 12), (12, 13)]",0,Any[],38,,,,,,,,,,,,,,,,,
pglib_opf_case73_ieee_rts,189713.27,864.7218181,OPTIMAL,99.06216965,765.6596484,1005.998323,6,0.068465753,0.400311165,0.287037037,0,3.06E-05,3,"Any[(58, 60), (34, 36), (10, 12)]",0,Any[],39,,,,,,,,,,,,,,,,,
pglib_opf_case89_pegase,NaN,276125.0371,TIME_LIMIT,7204.43863,268920.5984,269401.6356,1,0,0,1,0, , , , , ,42,,,,,,,,,,,,,,,,,
pglib_opf_case118_ieee,96527.04,5754.994573,OPTIMAL,2112.247256,3642.747317,4123.169243,5,0.055353107,0.482374291,0.346368715,0,6.27E-05,14,"Any[(47, 49), (27, 32), (106, 107), (41, 42), (71, 72), (64, 65), (65, 66), (38, 37), (39, 40), (61, 62), (32, 113), (31, 32), (30, 17), (81, 80)]",0,Any[],41,,,,,,,,,,,,,,,,,
pglib_opf_case162_ieee_dtc,102167.3564,16654.43164,TIME_LIMIT,7200.956557,9453.475083,10236.77841,1,0.045226337,0.365369299,0.417857143,0,0.005474012,2,"Any[(17, 18), (95, 98)]",0,Any[],44,,,,,,,,,,,,,,,,,
pglib_opf_case179_goc,753190.71,4838.041331,OPTIMAL,332.1623965,4505.878935,6363.299901,2,0.057121575,0.513052528,0.193693694,0,3.89E-05,14,"Any[(95, 96), (7, 20), (63, 75), (137, 138), (158, 78), (60, 61), (8, 20), (68, 74), (65, 73), (97, 98), (156, 154), (51, 58), (3, 20), (32, 33)]",0,Any[],42,,,,,,,,,,,,,,,,,
pglib_opf_case200_activ,27558.75,7923.834379,OPTIMAL,4005.70333,3918.131049,4919.229476,6,0.0167975,0.68215916,0.187755102,0,9.81E-05,14,"Any[(174, 188), (181, 194), (180, 199), (194, 150), (180, 191), (54, 66), (199, 172), (27, 93), (185, 150), (27, 158), (138, 195), (121, 178), (173, 175), (163, 179)]",0,Any[],43,,,,,,,,,,,,,,,,,
pglib_opf_case240_pserc,3245631.02,13261.99328,TIME_LIMIT,7200.363732,6061.629551,19722.31852,2,0.02673125,0.398975571,0.290229885,0,0.00113047,10,"Any[(13, 77), (145, 148), (209, 211), (77, 78), (89, 149), (34, 77), (115, 116), (53, 77), (10, 11), (18, 19)]",0,Any[],44,,,,,,,,,,,,,,,,,
pglib_opf_case300_ieee,578900.9629,13006.88685,TIME_LIMIT,7200.535049,5806.351802,7638.203044,1,0.152569444,0.448402615,0.239608802,0,0.060615589,13,"Any[(173, 186), (243, 248), (183, 259), (296, 298), (216, 217), (251, 256), (133, 134), (59, 80), (246, 250), (39, 78), (34, 39), (183, 187), (157, 146)]",0,Any[],48Instance,Objective_value,Run_time,Solution_status,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instance,Objective_value,Run_time,Solution_status,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind,,,,,,,,,,,,,,,,,
pglib_opf_case500_goc__sad,NaN,16092.3396,TIME_LIMIT,10800.54254,5291.797054,10071.81811,1,0.054018,0.277840118,0.232307692,0, , , , , ,15,,,,,,,,,,,,,,,,,
pglib_opf_case588_sdet__sad,NaN,14781.58698,TIME_LIMIT,10800.29895,3981.288034,8597.601352,2,0.050984694,0.614540545,0.131462334,0, , , , , ,16,,,,,,,,,,,,,,,,,
pglib_opf_case793_goc__sad,274171.4769,15494.27149,TIME_LIMIT,10800.41369,4693.857799,13342.09178,1,0.042534678,0.560565193,0.121681416,0,0.032735304,20,"Any[(410, 412), (633, 651), (493, 502), (502, 503), (340, 341), (610, 591), (759, 776), (612, 593), (570, 581), (639, 642), (464, 477), (659, 693), (627, 628), (625, 627), (785, 789), (527, 585), (601, 654), (528, 776), (787, 788), (631, 653)]",0,Any[],17,,,,,,,,,,,,,,,,,
pglib_opf_case1354_pegase__sad,NaN,52270.35965,TIME_LIMIT,10800.91465,41469.445,80158.81598,1,0.036185673,0.481245467,0.204093567,0, , , , , ,18,,,,,,,,,,,,,,,,,
pglib_opf_case500_goc__api,NaN,15931.62081,INFEASIBLE_OR_UNBOUNDED,10222.10887,5709.511941,10684.53238,1,0.054952,0.534239966,0.201538462,0, , , , , ,39,,,,,,,,,,,,,,,,,
pglib_opf_case588_sdet__api,390014.4217,14467.30186,TIME_LIMIT,10800.70606,3666.595809,8097.994494,2,0.052911565,0.769806605,0.132939439,0,0.000662114,21,"Any[(445, 468), (116, 119), (47, 58), (15, 65), (393, 416), (446, 468), (70, 77), (299, 321), (565, 577), (581, 543), (112, 123), (184, 230), (548, 557), (66, 75), (328, 345), (554, 558), (502, 523), (40, 41), (408, 416), (482, 514), (80, 130)]",0,Any[],40,,,,,,,,,,,,,,,,,
pglib_opf_case793_goc__api,281581.3278,15798.11838,TIME_LIMIT,10800.33861,4997.779768,14996.90532,1,0.050329809,0.701098594,0.118362832,0,0.016395747,11,"Any[(541, 542), (502, 503), (340, 341), (370, 379), (759, 776), (634, 646), (590, 598), (639, 642), (169, 170), (601, 654), (325, 353)]",0,Any[],41,,,,,,,,,,,,,,,,,
pglib_opf_case1354_pegase__api,NaN,52579.28667,TIME_LIMIT,10801.00942,41778.27725,79993.80692,1,0.032802632,0.562730987,0.201754386,0, , , , , ,42,,,,,,,,,,,,,,,,,
pglib_opf_case500_goc,NaN,8164.897434,INFEASIBLE_OR_UNBOUNDED,2723.74754,5441.149894,9111.605939,1,0.05205,0.523223605,0.232307692,0, , , , , ,61,,,,,,,,,,,,,,,,,
pglib_opf_case588_sdet,307746.1363,15424.08394,TIME_LIMIT,10801.08552,4622.998417,9957.843142,3,0.04797534,0.802085197,0.132939439,0,0.000798852,20,"Any[(445, 468), (116, 119), (47, 58), (15, 65), (393, 416), (446, 468), (403, 404), (70, 77), (105, 106), (565, 577), (112, 123), (487, 495), (184, 230), (548, 557), (502, 523), (301, 306), (547, 549), (408, 416), (482, 514), (80, 130)]",0,Any[],62,,,,,,,,,,,,,,,,,
pglib_opf_case793_goc,256852.8036,14719.13103,TIME_LIMIT,10800.33137,3918.799668,9735.258859,1,0.034567853,0.699988385,0.122787611,0,0.000334004,12,"Any[(410, 412), (493, 502), (502, 503), (299, 354), (759, 776), (570, 581), (340, 343), (229, 253), (590, 598), (527, 585), (528, 776), (787, 788)]",0,Any[],63,,,,,,,,,,,,,,,,,
pglib_opf_case1354_pegase,NaN,43277.69128,INFEASIBLE,138.122029,43139.56925,80972.34316,1,0.032572368,0.56409983,0.204678363,0, , , , , ,64,,,,,,,,,,,,,,,,,