Instance,Nodes,Edges,Objective_value,Run_time,Solution_status,Opt_gap,Num_off_lines,Off_lines,
pglib_opf_case3_lmbd__sad,3,3,5780.57047,0.01812249,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case5_pjm__sad,5,6,25755.3434,0.04466373,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case14_ieee__sad,14,20,2179.26529,0.40992942,OPTIMAL,FEASIBLE_POINT,3.54E-05,0,Any[]
pglib_opf_case24_ieee_rts__sad,24,38,71800.6356,32.91752,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case30_as__sad,30,41,853.829155,18.5558981,OPTIMAL,FEASIBLE_POINT,5.73E-05,2,"Any[(6, 10), (21, 22)]"
pglib_opf_case30_ieee__sad,30,41,7469.85267,1.49968569,OPTIMAL,FEASIBLE_POINT,0,1,"Any[(6, 10)]"
pglib_opf_case39_epri__sad,39,46,147362.999,11.8448038,OPTIMAL,FEASIBLE_POINT,0,4,"Any[(2, 25), (7, 8), (12, 11), (3, 18)]"
pglib_opf_case57_ieee__sad,57,80,38514.5054,24.2131488,OPTIMAL,FEASIBLE_POINT,9.09E-05,2,"Any[(36, 40), (9, 12)]"
pglib_opf_case73_ieee_rts__sad,73,120,217675.666,7200.10326,TIME_LIMIT,FEASIBLE_POINT,0.00261294,8,"Any[(23, 41), (25, 26), (29, 34), (27, 33), (5, 10), (3, 9), (40, 43), (2, 4)]"
pglib_opf_case89_pegase__sad,,,NaN,7230.54363,TIME_LIMIT,NO_SOLUTION,,,
pglib_opf_case118_ieee__sad,118,186,96673.8834,4581.28062,OPTIMAL,FEASIBLE_POINT,9.46E-05,11,"Any[(47, 49), (49, 69), (46, 47), (59, 60), (15, 19), (54, 55), (59, 61), (17, 31), (15, 33), (55, 56), (34, 43)]"
pglib_opf_case162_ieee_dtc__sad,162,284,101774.253,7200.44538,TIME_LIMIT,FEASIBLE_POINT,0.00158174,11,"Any[(16, 127), (39, 42), (8, 132), (16, 17), (8, 15), (8, 13), (8, 12), (60, 62), (48, 50), (14, 113), (60, 126)]"
pglib_opf_case179_goc__sad,179,263,NaN,7200.23567,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case200_activ__sad,200,245,27556.633,3564.09299,OPTIMAL,FEASIBLE_POINT,2.16E-05,9,"Any[(27, 93), (56, 55), (122, 46), (93, 191), (79, 75), (78, 75), (27, 158), (111, 175), (92, 89)]"
pglib_opf_case240_pserc__sad,240,448,NaN,7200.14527,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case300_ieee__sad,300,411,NaN,7200.21972,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case3_lmbd__api,3,3,10229.5823,0.02327101,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case5_pjm__api,5,6,73255.4587,0.11037927,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case14_ieee__api,14,20,5691.78942,0.34063801,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case24_ieee_rts__api,24,38,113491.768,7.30248456,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case30_as__api,30,41,2767.8341,3.65000811,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case30_ieee__api,30,41,17060.2059,1.24834978,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case39_epri__api,39,46,245430.805,1.42412188,OPTIMAL,FEASIBLE_POINT,9.54E-05,1,"Any[(3, 18)]"
pglib_opf_case57_ieee__api,57,80,49247.7703,36.5003217,OPTIMAL,FEASIBLE_POINT,8.89E-05,3,"Any[(21, 22), (4, 18), (13, 14)]"
pglib_opf_case73_ieee_rts__api,73,120,368693.658,128.08308,OPTIMAL,FEASIBLE_POINT,2.69E-10,3,"Any[(18, 21), (42, 45), (18, 21)]"
pglib_opf_case89_pegase__api,89,210,NaN,7224.75223,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case118_ieee__api,118,186,169766.961,7201.32707,TIME_LIMIT,FEASIBLE_POINT,0.00027346,7,"Any[(49, 54), (24, 72), (12, 14), (40, 42), (62, 66), (51, 58), (49, 54)]"
pglib_opf_case162_ieee_dtc__api,162,284,115725.33,7200.29256,TIME_LIMIT,FEASIBLE_POINT,0.00071022,12,"Any[(23, 60), (16, 17), (8, 13), (65, 126), (14, 72), (14, 113), (3, 124), (21, 127), (57, 80), (20, 157), (60, 126), (14, 132)]"
pglib_opf_case179_goc__api,179,263,1.81E+06,7200.31369,TIME_LIMIT,FEASIBLE_POINT,0.00019077,14,"Any[(123, 121), (11, 10), (3, 20), (133, 130), (126, 133), (7, 20), (113, 135), (156, 152), (113, 123), (6, 40), (123, 135), (130, 127), (3, 8), (162, 76)]"
pglib_opf_case200_activ__api,200,245,35693.686,1993.89656,OPTIMAL,FEASIBLE_POINT,9.01E-05,6,"Any[(11, 93), (22, 27), (79, 75), (78, 75), (27, 158), (92, 89)]"
pglib_opf_case240_pserc__api,240,448,NaN,7200.29446,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case300_ieee__api,300,411,679253.854,7200.1422,TIME_LIMIT,FEASIBLE_POINT,0.00023602,11,"Any[(27, 30), (7, 12), (19, 25), (296, 298), (27, 28), (258, 11), (105, 134), (293, 298), (120, 121), (109, 115), (257, 293)]"
pglib_opf_case3_lmbd,3,3,5736.33617,0.02307491,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case5_pjm,5,6,14999.7382,0.11931739,OPTIMAL,FEASIBLE_POINT,1.62E-05,0,Any[]
pglib_opf_case14_ieee,14,20,2175.77644,0.44152227,OPTIMAL,FEASIBLE_POINT,3.50E-05,0,Any[]
pglib_opf_case24_ieee_rts,24,38,63344.5703,4.27581594,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case30_as,30,41,802.688288,6.20682187,OPTIMAL,FEASIBLE_POINT,8.25E-05,1,"Any[(6, 10)]"
pglib_opf_case30_ieee,30,41,6662.00896,1.21215971,OPTIMAL,FEASIBLE_POINT,0,0,Any[]
pglib_opf_case39_epri,39,46,137664.85,0.64812151,OPTIMAL,FEASIBLE_POINT,8.99E-05,0,Any[]
pglib_opf_case57_ieee,57,80,37524.9587,34.3437368,OPTIMAL,FEASIBLE_POINT,7.06E-05,3,"Any[(21, 22), (2, 3), (13, 14)]"
pglib_opf_case73_ieee_rts,73,120,189706.224,39.580556,OPTIMAL,FEASIBLE_POINT,9.95E-05,0,Any[]
pglib_opf_case89_pegase,89,210,106473.393,7200.26931,TIME_LIMIT,FEASIBLE_POINT,0.00066833,15,"Any[(41, 19), (35, 19), (23, 30), (74, 19), (63, 19), (18, 47), (35, 30), (9, 65), (12, 89), (37, 30), (87, 89), (74, 30), (76, 85), (63, 30), (23, 19)]"
pglib_opf_case118_ieee,118,186,96370.7687,497.575896,OPTIMAL,FEASIBLE_POINT,5.40E-07,6,"Any[(62, 67), (47, 49), (49, 69), (46, 47), (59, 60), (23, 24)]"
pglib_opf_case162_ieee_dtc,162,284,101731.015,7200.07833,TIME_LIMIT,FEASIBLE_POINT,0.00119063,8,"Any[(39, 42), (23, 60), (16, 17), (60, 62), (12, 132), (14, 132), (20, 53), (10, 13)]"
pglib_opf_case179_goc,179,263,753094.095,1095.93268,OPTIMAL,FEASIBLE_POINT,6.21E-05,16,"Any[(156, 154), (11, 10), (9, 10), (123, 137), (145, 149), (117, 134), (146, 145), (123, 137), (113, 121), (6, 4), (146, 145), (156, 152), (123, 137), (153, 154), (113, 123), (67, 91)]"
pglib_opf_case200_activ,200,245,27556.5694,1636.15429,OPTIMAL,FEASIBLE_POINT,2.48E-05,7,"Any[(11, 93), (93, 191), (66, 158), (79, 75), (78, 75), (27, 158), (111, 175)]"
pglib_opf_case240_pserc,240,448,3.24E+06,7200.54461,TIME_LIMIT,FEASIBLE_POINT,0.00061027,18,"Any[(34, 77), (129, 130), (13, 77), (137, 236), (149, 238), (62, 65), (149, 238), (157, 158), (88, 94), (1, 11), (65, 70), (137, 236), (158, 195), (62, 69), (137, 150), (10, 77), (88, 94), (13, 14)]"
pglib_opf_case300_ieee,300,411,NaN,7230.60138,TIME_LIMIT,NO_SOLUTION, , , 
,,,,,,,,,
"3 hours, 1e-3",,,,,,,,,
pglib_opf_case500_goc__sad,500,733,NaN,556.8552225,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case588_sdet__sad,588,686,NaN,10800.44379,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case793_goc__sad,793,913,NaN,357.5901209,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case1354_pegase__sad,1354,1991,NaN,10801.49956,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1888_rte__sad,1888,2531,NaN,10803.34957,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1951_rte__sad,1951,2596,NaN,10806.86384,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case2000_goc__sad,2000,3639,NaN,10801.43853,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case2312_goc__sad,2312,3013,NaN,2666.630544,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case500_goc__api,500,733,NaN,7218.741341,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case588_sdet__api,588,686,389971.0793,10816.42842,TIME_LIMIT,FEASIBLE_POINT,0.002008639,48,"Any[(376, 362), (251, 282), (112, 124), (310, 324), (378, 401), (47, 48), (398, 363), (411, 363), (457, 491), (28, 31), (369, 372), (192, 229), (411, 370), (476, 485), (445, 448), (449, 468), (378, 382), (368, 361), (7, 8), (371, 370), (439, 450), (128, 80), (199, 200), (181, 182), (39, 40), (446, 521), (406, 394), (359, 370), (427, 476), (267, 324), (92, 93), (309, 252), (310, 280), (214, 215), (378, 395), (296, 285), (445, 446), (446, 447), (310, 315), (84, 128), (278, 310), (104, 105), (355, 363), (310, 237), (168, 214), (378, 356), (383, 411), (436, 437)]"
pglib_opf_case793_goc__api,793,913,NaN,3.046712069,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case1354_pegase__api,1354,1991,NaN,10800.97933,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1888_rte__api,1888,2531,NaN,10801.92813,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1951_rte__api,1951,2596,NaN,10805.21511,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case2000_goc__api,2000,3639,NaN,1050.418949,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case2312_goc__api,2312,3013,NaN,6231.369949,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case500_goc,500,733,NaN,10821.07014,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case588_sdet,588,686,307339.5611,10801.09761,TIME_LIMIT,FEASIBLE_POINT,0.001214856,49,"Any[(26, 119), (376, 362), (398, 363), (411, 363), (28, 31), (21, 40), (213, 191), (343, 350), (27, 28), (411, 370), (476, 485), (445, 448), (212, 192), (449, 468), (262, 299), (443, 446), (378, 382), (112, 113), (27, 56), (371, 370), (439, 450), (386, 358), (319, 329), (199, 200), (29, 58), (181, 182), (63, 64), (105, 106), (39, 40), (19, 25), (446, 521), (359, 370), (383, 411), (427, 476), (407, 381), (310, 280), (214, 215), (296, 285), (446, 447), (310, 315), (83, 128), (259, 286), (104, 105), (355, 363), (310, 237), (97, 120), (378, 356), (383, 411), (436, 437)]"
pglib_opf_case793_goc,793,913,256776.7588,10800.85331,TIME_LIMIT,FEASIBLE_POINT,0.000334532,20,"Any[(254, 287), (531, 532), (225, 273), (380, 381), (16, 17), (289, 598), (479, 482), (287, 385), (100, 276), (623, 624), (340, 341), (708, 724), (787, 656), (524, 525), (493, 503), (280, 361), (232, 616), (362, 410), (232, 616), (122, 124)]"
pglib_opf_case1354_pegase,1354,1991,NaN,10800.87546,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1888_rte,1888,2531,NaN,10801.66052,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1951_rte,1951,2596,NaN,10808.49926,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case2000_goc,2000,3639,NaN,10286.04515,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case2312_goc,2312,3013,NaN,5124.203496,INFEASIBLE,NO_SOLUTION, , ,